text,isnegative,importance
_holy crap you actually did it_,0,0.5
_technically_ yes.,0,0.5
- [ ] Investigate caching TypeConverters for properties and types. I'd recommend going for a sourcegen solution and generate a switch instead of a dictionary to avoid allocation bump,0,0.5
- [ ] Investigate why ColorTypeConverter and EasingTypeConverter are whitelisted,0,0.5
- [x] - #code is having scaling issues (migrie: ✔️ I think; @github ✅ i can't get anything weird to happen ),0,0.5
- [x] - #code needs to account for scaling (migrie: ✔️),0,0.5
- [x] - Can we completely hide all pixel stuff into the renderer for the fake font scaling - Not likely in this PR,0,0.5
- [x] - Check #code (@github ✅ it works even better than before),0,0.5
- [x] - Gutter isn't cleared scaling font with wheel to size that makes fewer lines fit (migrie: ✔️),0,0.5
- [x] - Scaling font with Ctrl+mouse wheel doesn't work right (migrie: ✔️),0,0.5
- [x] - The buffer size changes when we drag across a DPI boundary 😮😮😮,0,0.5
- [x] - WPF control needs auditing,0,0.5
- [x] ~(Bonus Points) _maybe_ make these settings observable (we'll need that soon anyways)~ Nope,0,0.5
- [x] Fix #code being null,0,0.5
- [x] Fix tests,0,0.5
- [x] fix/add tests,0,0.5
- [x] fix/test Copy,0,0.5
- [x] merge master (new Profile setting),0,0.5
- [x] Profile has a few settings we handle manually (i.e. BI alignment). I need to hook those up properly too,0,0.5
- [x] really do get rid of #code internally,0,0.5
- [x] remove IInspectable crap,0,0.5
- [x] Update IDL with #code functions,0,0.5
- [x] Update spec and propagate changes from spec,0,0.5
- #code for any case this PR already handles for just Ordinal,0,0.5
- Commands with arguments that are complex could be presented with a ... in the grid on the edge that launches a modal with the raw JSON to be edited,0,0.5
- Concern with how to display/present the commands that people might not know about (easily buried in a dropdown/combo),0,0.5
- Do we want extensions to control the styling insides hovers at all? Right now we control the presentation and can try our best to make sure the hovers look ok with all themes,0,0.5
- I'm not sure how common this requirement is outside of MVC,0,0.5
- IEquatable has arity 2,0,0.5
- IEquatable is a nested type and container's name is and is not System,0,0.5
- miniksa on 4/20: We're going to leave this for now. It's too crazy to come up with a solution to this right now and it's not that bad of a transition with reflowing,0,0.5
- Needed to use the engine's scaling in the first #code,0,0.5
- one that indicates per socket the usage is safe for inlining,0,0.5
- Save the exception and not its value in the test after the scenario is complete,0,0.5
- seemingly fixed by 4a32b33,0,0.5
- Simply fail because the exception happened,0,0.5
- The bot did a terrible job at replacing these words - [EbookFoundation/free-programming-books#6801](#url),0,0.5
- The bot ignores all context whatsoever at [moby/moby#43441](#url),0,0.5
- The code fails to compile at [rust-lang/rust#95508](#url),0,0.5
- This is the simplest thing to do for now,0,0.5
- Turn the exception into an error,0,0.5
- We don't think we have a readily available grid control,0,0.5
-- | -- | -- |,0,0.5
---,0,0.5
:+1 for #code,0,0.5
? I've never seen the usage of backticks here,0,0.5
. image](ht,0,0.5
. recording](ht,0,0.5
... developers could do,0,0.5
.... Because I clearly wrote this with very little to no sleep 😅 yea wtf was I thinking,1,0.5
" Stupid context specific diff, did not notice",1,0.5
"_renderEngine->UpdateFone(newDpi, _desiredFont, _actualFont, whatever we want to add)",0,0.5
"- [ ] - Check that the #979 hack still works correctly, at the right location",0,0.5
"- [ ] Investigate #code usage in Core, and the reason it was ported there, and not deprecated",0,0.5
"- [ ] Investigate the usage of #code in Controls. It's probably unused, in that case #code and the 2 caches in TypeConversionExtension could go away",0,0.5
"- [ ] None of our TypeConverters have any side effect, and instances could be reused (we can speak for 3rd party converters, unfortunately...)",0,0.5
"- [unlikely] CurrentCulture case if we add ""IsAscii or fallback"" check",0,0.5
"- [x] - 1px cursor types will be very thin as they're not being scaled (_migrie_: wait is this bad? this looks crisp and beautiful IMO, but sure let's scale it)... Not scaling per Mike and Dustin opinion",0,0.5
"- [x] - Also related: Ctrl+mousewheel to increase the font size, then make a selection. Entire display disappears? When selecting a row, it gets repainted correctly. (migrie: ✔️)",0,0.5
"- [x] - Check initial sizing for padding, showTabsInTitlebar at 1.0 scaling (@github ✅)",0,0.5
"- [x] - Check initial sizing for padding, showTabsInTitlebar at high-dpi scaling",0,0.5
"- [x] - Dragging between monitors doesn't fully refresh, receives multiple events (migrie: still receives multiple events but ✔️)",0,0.5
"- [x] - Open vim.exe in one tab, wsl vim in another. Switch to tab 0. Drag from 125% to 100% display. Switch to tab 1. Vim there seems to reflow real badly. Might be b/c 24eb455",0,0.5
"- [x] - Settings reload doesn't work right for font scaling (migrie: ✔️, with a bug in vim below) (validated as working @github ✅ )",0,0.5
"- [x] - Vim is blanked. This is on master too.  (migrie: Not seeing this anymore, so ✔️? This might be the same issue that's fixed by 4a32b33, see below.)",0,0.5
"- [x] (after #7877 merges) address ""TODO CARLOS"", copy commands/keybindings/schemes in globals",0,0.5
"- [x] Check if the ""suppress the first resize"" logic works",0,0.5
"- [x] Dragging #code across the DPI boundary to a 100% scale display corrupts the first line of the buffer -> This is actually in master totally separately, moved to #5428",0,0.5
"- [x] It doesn't actually work most of the time. It was based off the false premise that we got three messages, which I have no idea why I was seeing consistently on Thursday and not Friday, but whatever. I'll yank all that code",0,0.5
"- [x] Open WSL vim. Add a line of text to a file, in the middle of the viewport. Write the file. Whole screen is cleared, except cursor line and the status line",0,0.5
