"OrganizationLogin","RepositoryName","ReviewerLogin","HtmlUrl","Body"
"xamarin","xamarin-android","dellis1972","https://github.com/xamarin/xamarin-android/pull/4614#issuecomment-630747013","Well we can never fix up the Line numbers without a lot of work. I don't think it's worth the effort. 
While the two error messages was a nice idea , the fact that the IDE's may or may not show them in order is a problem. 

I'm now back to the idea of just fixing up the file path and adding a comment to say that the error might not have anything to do with that file and might be caused by other things. "
"xamarin","xamarin-android","dellis1972","https://github.com/xamarin/xamarin-android/pull/6894#discussion_r843755711","Looking at the code I don't think we need this really. I'll be removing it"
"xamarin","xamarin-android","dellis1972","https://github.com/xamarin/xamarin-android/pull/3229#discussion_r295754586","`e.Data` can be null :( not sure if that will break anything."
"xamarin","xamarin-android","dellis1972","https://github.com/xamarin/xamarin-android/pull/6966#issuecomment-1110177386","we should ask @jonpryor if this is the right thing to do cos I have no idea :D"
"xamarin","xamarin-android","dellis1972","https://github.com/xamarin/xamarin-android/pull/4726#issuecomment-634592901","@jonathanpeppers I think we will need this on 16.7 I just did some tests on Windows with accented paths and files like `libraryprojectimports.cache` no longer work correctly. We get the following error

```
System.Xml.XmlException: Invalid character in the given encoding. Line 1, position 39.   at System.Xml.XmlTextReaderImpl.Throw(Exception e)   at System.Xml.XmlTextReaderImpl.Throw(String res, String arg)   at System.Xml.XmlTextReaderImpl.InvalidCharRecovery(Int32& bytesCount, Int32& charsCount)   at System.Xml.XmlTextReaderImpl.GetChars(Int32 maxCharsCount)   at System.Xml.XmlTextReaderImpl.ReadData()   at System.Xml.XmlTextReaderImpl.ParseText(Int32& startPos, Int32& endPos, Int32& outOrChars)   at System.Xml.XmlTextReaderImpl.FinishPartialValue()   at System.Xml.XmlTextReaderImpl.get_Value()   at System.Xml.Linq.XContainer.ReadContentFrom(XmlReader r)   at System.Xml.Linq.XContainer.ReadContentFrom(XmlReader r, LoadOptions o)   at System.Xml.Linq.XDocument.Load(XmlReader reader, LoadOptions options)   at System.Xml.Linq.XDocument.Load(String uri, LoadOptions options)   at System.Xml.Linq.XDocument.Load(String uri)   at Xamarin.Android.Tasks.ReadLibraryProjectImportsCache.RunTask()   at Xamarin.Android.Tasks.AndroidTask.Execute() | App1 |   |   |  
```

For some reason it is also missing the xml declaration at the top that might be related, but I'm not sure. "
"xamarin","xamarin-android","dellis1972","https://github.com/xamarin/xamarin-android/pull/6273#discussion_r714666685","@jonathanpeppers I'm not sure why I've had to add this to this particular test. It was failing without it. "
"xamarin","xamarin-android","dellis1972","https://github.com/xamarin/xamarin-android/pull/6014#issuecomment-863504467","@pjcollins I tested this branch in VSCode on Mac OS. I can still debug the MSBuild Task tests so this looks good to me :)"
"xamarin","xamarin-android","dellis1972","https://github.com/xamarin/xamarin-android/pull/6970#discussion_r864629351","This might also be useful for customers who want to profile their app I guess.

But I do wonder if there is a way we can enable this at built time somehow, so generate the java code which adds the Intent ."
"xamarin","xamarin-android","dellis1972","https://github.com/xamarin/xamarin-android/pull/2359#discussion_r229700421","I think this was done this way so we DONT create a directory if the assembly does not contain any of the embedded resource types.  But I'd have to go back and look at the history to figure out what the original intent was.. its probably a cut and paste thing
"
"xamarin","xamarin-android","dellis1972","https://github.com/xamarin/xamarin-android/pull/6135#issuecomment-891078669","> @dellis1972 I think it's working now.
> 
> So we'll have to merge monodroid (it will be broken temporarily), and then come back to this?

Correct."
