text,isnegative
https://github.com/dotnet/roslyn/pull/26793#discussion_r187782708,0
note: as per my conversation with @github i think the case that VB is handling is incredibly esoteric. I would be ok with having VB just checking for that case and not offerring invert-if if it helps simplify the rest of the algorithms here. I think it's a practically irrelevant case in practice and i would be fine with no invert-if for it.,1
This is an unfortunate consequence of having PRs drag on for so long.  We literally forget about the conversations we've had on these very topics. :),1
@github This local variable will be released in the end of method with the help of garbage collector.,0
"Again I don't think we need a separate method for this, and ideally conhost would support some version of the ""restore default"" functionality too, but worst case the existing behaviour should remain unchanged. We definitely shouldn't be returning false without doing anything.",1
This will replace the way I was using `getBranch` in the GHPRI extension to determine the best remote to create a permalink for.,0
"The old way was to get the world using `getBranch` for a commit then do filtering and sorting based on the ""best"" remotes and branches. For microsoft/vscode, this always takes >10 seconds.",0
"The new way would be to make the ""best"" patterns (remote+branch combos) then try to `getBranch` for each of these patterns. Best case, the first pattern returns a successful branch, which should only be a few (I think I've seen 2 or 3 seconds max) seconds. Worst case, we test all patterns (likely less than 6).",0
"Now for a worst-case example, using the _Solarized Dark_ color scheme.",0
"As with the _Xterm_ scheme you can see some ""glitches"" in the 16-color mappings. Only now even the colors are wrong. For example, it thinks the _Solarized_ dark green is closer to a shade of yellow, and the blue looks more like cyan. But again, I don't think that is such a big deal - it's still mapping to a reasonable color.",0
"The unexpected ""black"" spots are worse though. That's because those are colors that appear to be a medium shade of gray, and thus get mapped to index 8 (bright black), but in the _Solarized_ scheme, bright black is the darkest color in the palette, darker even than dark black. Without knowing the palette, there's nothing we can do about that.",0
"And then you've also got the fact that half of the bright colors are just shades of gray. So the bright greens and yellows in the rightmost blocks of the color cube end up getting mapped to various shades of gray. But note that the original algorithm didn't do much better, with those greens and yellows being mapped to red, orange and blue.",0
"Finally there are the shades of gray at the bottom of the test pattern where the middle section appears darker than the start. But again that's just because _Solarized_ has the black and bright black intensities reversed. The mapping in the old algorithm wasn't perfect either, but the shades of gray are at least in the right order.",0
"So yeah, this case is a bit of a mess for the new algorithm, but that's not a huge surprise. And if you're using a _Solarized_ color scheme, then you're probably used to things being broken a lot of the time. 😉",0
"I'm wondering whether we should do something a little more subtle for possible values of Length. As this PR stands, we're breaking some existing scenarios (see example below).",0
"I'm thinking we could do something like for nullability, whereby if you explicitly test for null on a non-nullable value then we take it seriously expand the value's domain (pure null tests).",0
"The analog here would be that if you do a test for some negative value of Length, then we expand its value domain to include negative values.",0
I think that would avoid the breaking change.,0
This is not blocking this PR. Probably needs more reflection and discussion with LDM.,0
"I only see one caller to Pump.  Since we'll throw if `input` is null, it shouldn't be declared as null-accepting.  At worst, we're just moving this `!` to the caller where they're asserting it's not null.",0
"Digging deeper, the `input` parameter can never be null (which is good, or we'd have a pending exception here).",0
I looked at my usual corpora [1] to see which strategy is best. I started by considering three options:,0
I found all comments containing `@github` and dumped the list of tags from each comment.,0
6 projects use the unsupported callback-like typedefs compared to 3 projects that use local typedefs.,0
"Additionally, I observed plenty of unassociated `@github` comments that were not separated by a newline from the next element, though the median next element was another comment.",0
"In the future, if we decide to support callback-like typedefs, then (1) would stop incorrectly showing the callback-like typedefs. The code to implement this wouldn't be large, although I think there isn't much demand.",0
"@github I tried the mono ""HelloWorld' sample (src/mono/samples/HelloWorld) with the interpreter on linux-x64 (`make run MONO_ENV_OPTIONS=--interp` in that directory) in a debug build of mono (`./build.sh mono+libs -c Debug`)",0
It's dying on this line,0
"I ran it in GDB and got a ""stack trace"" of the frames:",0
(And I think we're in the pinvoke wrapper for `Interop.Sys.GetEnv` - going up a few more frames I see us in `GetEnvironmentVariableCore`).,0
"*Update* actually since it's a `LDIND` that's failing, it's probably not that `buffer` is bad, but something we're doing with `str`",0
~~So I think we're getting garbage for `buffer` near here:~~,0
"I'm not sure why that might be, yet",0
I think the interpreter doesn't like `MemoryMarshal.GetReference` for some reason:,0
Options I see for this:,0
1. What I did here (clear dupes of each attribute as it's added) - simple and O(N^2),0
2. Clear dupes of *all* attributes for an element/component when it's closed - somewhat simple and also O(N^2),0
"3. Use a HashSet - simple, requires extra data/hashing and still kinda worst-case O(N^2) because removing from an array is O(N)",0
"Basically I felt like keeping the data in the *always consistent* state was the best thing overall. Without doing dedicated perf work around this specific feature, I don't have a clear insight into which of these are the best. That seems like a good thing to do some other time.",0
"Seriously though, should we start all our interface summaries with ""Defines an interface""? Seems obvious/redundant. Even just ""An interface"" would be slightly better.",1
We are seeing the same issue in the 'release/5.0-preview1' branch and need this fix there too.,0
1. Re-enable this build step everywhere,0
2. Find some way to run this build step when the site extension may be affected,0
"- Worst case, could have a separate pipeline developers could execute when they suspect it's needed e.g. for this PR and the mega merge",0
"This isn't incredibly urgent. But, might be nice to get it into 2.1.28 if ProdCon hasn't reached this repo by the time the changes are approved and validated.",0
How can we help investigate?,0
"For clarification, a movzx of 8-bit to 32-bit can sometimes be elided entirely by the processor. In the worst case it's a 1/4 nanosecond latency on modern CPUs.",0
"A movzx of 16-bit to 32-bit can never be elided by the processor. In the worst case it's a multi-cycle latency, as you have the cost of the operation _and_ the fact that this instruction operates on a dedicated port separate from many other ALU instructions. So that's a potential pipeline stall that affects anybody who will end up reading this value after it's computed.",0
"Hmm, is this going to work right? If this is reflecting against the compiler's object, but we're linking a copy into our project, is this going to fail the ""is"" check because the types won't unify? note the reflection before wouldn't have cared in the slightest.",1
The prior reflection not throwing asserts or something if it failed to me is incredibly suspicious too since we could have silently broken this in other ways.,0
I don't think this loop is critical for performance as it's only executed once and it's very likely that this information is needed later anyway.,0
In addition `modifiedSourceFiles` is only available in the scope of this function. I would need to move it to an outer scope to access it later. I'd like to avoid that as it increases the likelihood to retain references to old sourcefiles that could otherwise be garbage collected,0
"Correct, the current implementation does not write all the bytes. The tests were failing without these Clear calls, because the rented arrays had garbage from previous usages.",0
"The TypeScript generating this was `x = <any> { test: <any></any> };`. Garbage in, garbage out?",1
"I'm not sure if anyone can confirm that doing a manual GC.Collect() between test runs causes the tests to pass, but that was my experience, so I believe I have found the problem.  It looks like the issue is reference counting on the COM interfaces.  The documentation for Marshal.GetObjectForIUnknown(IntPtr) states:",0
This method wraps IUnknown in a managed object. This has the effect of incrementing the reference count of the COM component. The reference count will be decremented when the runtime performs garbage collection on the managed object that represents the COM object.,0
