"OrganizationLogin","RepositoryName","ReviewerLogin","HtmlUrl","Body"
"dotnet","maui","rachelkang","https://github.com/dotnet/maui/pull/3222#discussion_r756325721","How, if at all, does this relate to AutomationProperties?"
"dotnet","maui","rachelkang","https://github.com/dotnet/maui/pull/771#discussion_r616082984","```suggestion
				unsetValue
			);
```"
"dotnet","maui","rachelkang","https://github.com/dotnet/maui/pull/2807#discussion_r721434972","Nope, I don't think so. And yeah, the upgrade story is an interesting concept! Will have to look into that more, depending on how we decide to approach the package support for api 21/22"
"dotnet","maui","rachelkang","https://github.com/dotnet/maui/pull/722#issuecomment-825866575","trying again now"
"dotnet","maui","rachelkang","https://github.com/dotnet/maui/pull/4515#discussion_r802013838","updated, thanks for the feedback!"
"dotnet","maui","rachelkang","https://github.com/dotnet/maui/pull/5111#discussion_r830172506","@davidortinau told me blazor already has this type of theming via bootstrap styles"
"dotnet","maui","rachelkang","https://github.com/dotnet/maui/pull/779#discussion_r620370186","should this also be MauiComboBox?

```suggestion
		public static void UpdateFont(this MauiComboBox nativeComboBox, IPicker picker, IFontManager fontManager) =>
```"
"dotnet","maui","rachelkang","https://github.com/dotnet/maui/pull/4515#issuecomment-1043465181","Thanks for the feedback @Eilon! Opened an issue here https://github.com/dotnet/maui/issues/4766 - feel free to add more info"
"dotnet","maui","rachelkang","https://github.com/dotnet/maui/pull/771#discussion_r616081534","```suggestion
		[Theory(DisplayName = ""CursorPosition Updates Correctly"")]
```"
"dotnet","maui","rachelkang","https://github.com/dotnet/maui/pull/1886#discussion_r681032450","What is the expected updated behavior here?"
"dotnet","maui","rachelkang","https://github.com/dotnet/maui/pull/5581#discussion_r841899653","will do!"
"dotnet","maui","rachelkang","https://github.com/dotnet/maui/pull/1774#discussion_r675817160","missing d
```suggestion
		public static readonly BindableProperty FontAutoScalingEnabledProperty = FontElement.FontAutoScalingEnabledProperty;
```"
"dotnet","maui","rachelkang","https://github.com/dotnet/maui/pull/5111#discussion_r830175037","I was told that it's best to use Brushes for Background colors and Colors everywhere else (cc @jsuarezruiz) 

and yep, I added a bunch of colors/brushes that don't get used - exact colors are still a bit tentative, but I'll see what @davidortinau thinks for that"
"dotnet","maui","rachelkang","https://github.com/dotnet/maui/pull/7539#issuecomment-1145003979","failing tests unrelated"
"dotnet","maui","rachelkang","https://github.com/dotnet/maui/pull/5111#discussion_r821832938","The built-in platforms also use color for interactive controls"
"dotnet","maui","rachelkang","https://github.com/dotnet/maui/pull/5262#discussion_r827429616","nit typo fix that's been bothering me
```suggestion
                Text=""Toggle TabBar""
```"
"dotnet","maui","rachelkang","https://github.com/dotnet/maui/pull/1830#discussion_r678568320","```suggestion
					false
				);
```"
"dotnet","maui","rachelkang","https://github.com/dotnet/maui/pull/1039#discussion_r634435476","fixing now - but can you remind me why the null check is sufficient for Android and not iOS?"
"dotnet","maui","rachelkang","https://github.com/dotnet/maui/pull/4022#discussion_r781511729","Hi, @canperk - what's ths issue you're seeing on iOS? Is it also the same error regarding `Xamarin.AndroidX.Security.SecurityCrypto` ?"
