"OrganizationLogin","RepositoryName","ReviewerLogin","HtmlUrl","Body"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/615#discussion_r605495079","i think we should keep the hostingContext, we might in the future add stuff to the hostingcontext, and you can use it to decide what to register. "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/4945#discussion_r820646383","won't we neeed this mirror on internal feeds? @mattleibow  ? "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/4591#discussion_r802881397","@jonathanpeppers  i think we can remove this change right? "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/6354#issuecomment-1109668732","@mattleibow  nop i don't think so it's not on version details"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/3196#issuecomment-982580965","now we will need to update the oder ITextinput implementations

```
 D:\agent\1\s\src\Controls\src\Core\HandlerImpl\Editor\Editor.Impl.cs(6,32): error CS0535: 'Editor' does not implement interface member 'ITextInput.CursorPosition' [D:\agent\1\s\src\Controls\src\Core\Controls.Core-net6.csproj]
         D:\agent\1\s\src\Controls\src\Core\HandlerImpl\Editor\Editor.Impl.cs(6,32): error CS0535: 'Editor' does not implement interface member 'ITextInput.SelectionLength' [D:\agent\1\s\src\Controls\src\Core\Controls.Core-net6.csproj]
         D:\agent\1\s\src\Controls\src\Core\HandlerImpl\SearchBar.Impl.cs(3,35): error CS0535: 'SearchBar' does not implement interface member 'ITextInput.CursorPosition' [D:\agent\1\s\src\Controls\src\Core\Controls.Core-net6.csproj]
         D:\agent\1\s\src\Controls\src\Core\HandlerImpl\SearchBar.Impl.cs(3,35): error CS0535: 'SearchBar' does not implement interface member 'ITextInput.SelectionLength' [D:\agent\1\s\src\Controls\src\Core\Controls.Core-net6.csproj]
```"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/5854#discussion_r845474047","i m with @jfversluis  on this one 
"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/362#issuecomment-789985830","Needs rebase"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/590#discussion_r714832412","Can you make a PR with that? 
I will merge this now just to fix running android"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/7689#discussion_r887897138","this cast was failing, and that's why clearing selection wasn't working. We need to find a better way to fix this cast, for example implement a Interface on the SelectableItemsViewAdapter"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/6224#issuecomment-1102816462","grrr @mattleibow  

<img width=""1505"" alt=""image"" src=""https://user-images.githubusercontent.com/1235097/164044472-18c6290a-d687-4f16-952d-849581b764ca.png"">

https://devdiv.visualstudio.com/DevDiv/_build/results?buildId=6043261&view=results
"
