text,isnegative
Why not use `Directory.Move`?,0
I think we should come up with a better version than 1.0.0.,0
We could use the existing mlaunch version:,0
"or we could come up with something else (Xcode version? Something completely different that's calculated in maccore and doesn't take xamarin-macios into account? Go with ""0.0.1"" and decide something later?)",0
@spouliot / @dalexsoto what do you think? I lean towards the mlaunch version (although the downside here is that there can be multiple mlaunch versions for the same maccore hash).,0
"Note for future: we can probably use `[Category (""StaticRegistrar"")]` and then exclude that category when running the tests.",0
Test failures are unrelated:,0
* introspection/Mac Modern/Debug: #15230,0
* xcframework-test/watchOS 32-bits - simulator/Debug: https://github.com/xamarin/maccore/issues/2558,0
build,0
Same: iterator function.,0
We should somehow make sure these are fixed in XAMCORE_4_0.,0
One easy way to do this would be to make the attribute field an error:,0
Test failures are unrelated (https://github.com/xamarin/maccore/issues/2443 and https://github.com/xamarin/maccore/issues/2471).,0
You're executing powershell to execute PlistBuddy. Why not just execute PlistBuddy directly?,0
The text for `MM4175` shouldn't be deleted.,0
Test failures are unrelated:,0
*  monotouch-test/Mac Catalyst [dotnet]/Debug [dotnet]: https://github.com/xamarin/maccore/issues/2443,0
* [NUnit] Mono Mac OS X BCL tests group 2/Mac Full/Debug: https://github.com/xamarin/maccore/issues/2542,0
"You include Mac Catalyst, but the type inside here is still `[Unavailable (PlatformName.MacCatalyst)]`",0
Test failure is unrelated (https://github.com/xamarin/maccore/issues/2414).,0
It should be. I cherry picked the commit.,0
👍,0
I didn't know about the forking and bots... I'm a noob with all this. Next time or should I create now?,0
"We typically prefer work (and pull requests) to be done in forks. It's fine for this PR, but if you could create the d16-7 PR using your fork that would be great! And we've branched d16-8 as well, so this fix needs to go there too.",0
/azp run,0
"""normal"" AOT aka.",0
"Right now people can use Debug mode and it works, except that you can't debug. My concern is that if someone runs into a bug in the interpreter, they should be able to stop using the interpreter somehow so that the app runs correctly on the watch, even though debugging doesn't work (they could at least use Console.WriteLines).",0
"I think `RequiredInterface` sounds better (mostly because `Require` is a verb, and this is a property, not a method).",0
Missing newline at end of file.,0
"I don't think we'll have the problem in the d16-6 branch (we probably started getting too many statuses for one page with our .NET support, which isn't in d16-6), so I don't think we need this PR.",0
"buffer.Length can't be 0 here due to argument validation (count has to be >= 1, and offset + count has to be <= buffer.Length).",0
"It seems my grepping was flawed: `dispatch_get_main_queue` shows up in earlier iOS SDKs, but it's a define, not an actual function (which it didn't become until iOS 8).",0
"I'll have a look and see if we can remove the call to `dispatch_get_main_queue` entirely, and just rely on the `_dispatch_main_q` variable instead.",0
Test failures are unrelated,0
* introspection/Mac Catalyst [dotnet]/Debug [dotnet]: https://github.com/xamarin/maccore/issues/2414,0
* fsharp/Mac [dotnet]/Debug [dotnet]: #12738,0
Why `ref` (for the second argument)? You're not assigning anything to it.,0
"Same, `string` output:",0
Then the [NoWatch] attribute on the other members added to this type is redundant.,0
"True, but that same argument apply to any generated code and optimization that are done. That includes the ones that are already present in that step: if you modify the generated Dispose then that code must be updated (or at least verified) to match.",0
"A test can be added to make failure more likely but still any generated code change must be reflected in all the optimizations, that's the contract for any code decorated with [BindingImpl].",0
"True, that's the contract. We're also humans who make mistakes... in theory we'd check that all optimizations continue to work as expected after changing BindingImpl methods, but experience tells me there's a significant chance that won't happen.",0
I might have missed something but I don't know why this would be limited to release builds ?,0
"You're right, I got confused.",0
"It's also only applied on types that are not subclassed. E.g. UIView would not be removed, even if empty, because a lot more logic would be needed to replace the calls (like UIWindow::Dispose back to its base class).",0
Removing an override is not a binary breaking change: https://docs.microsoft.com/en-us/dotnet/core/compatibility/,0
"Which means that if UIWindow::Dispose calls UIView::Dispose, and UIView::Dispose is removed, then the call will just go to the next Dispose implemenation further up the chain (which might end up being NSObject::Dispose).",0
"That said, I'm not sure if it would still work if it all happens within the same assembly.",0
On the other hand I'm wondering if a mix of two other ideas would make this idea more future-proof:,0
1. Enhance the optimization that removes the null assignment to remove the Handle == IntPtr.Zero check as well. This would mean the only thing left in the Dispose method would be the call to base.,0
2. Check if there is (or implement) an optimization in the linker (or our own custom steps) that removes virtual overrides that just call base.,0
"This seems both safer/more defensive, and generally more useful (the second part at least, if it's not done already).",0
"Another point is that this optimization will break if we ever change the dispose method to check for NativeHandle.Zero instead of IntPtr.Zero, and there are no tests in this PR to catch this :)",0
"Yes, the difference is that `is null` won't call any `==` operators: https://stackoverflow.com/a/50811687/183422 (It's guaranteed to always be a pointer-comparison)",0
Test failure is unrelated (https://github.com/xamarin/maccore/issues/2154),0
Same,0
"The problem is that the order matters... if a place wants to add '-L' and '/path/to/foo', those arguments have to be kept in the same order, and a HashSet doesn't preserve order.",0
Missing availability attributes.,0
Makes sense for us but is this also true for VSMac now?,0
"Yes, this is true for all our platforms in .NET, even for VSMac.",0
I think this is simpler and more accurate:,0
@mandel-macaque fixed,0
"Due to https://github.com/xamarin/xamarin-macios/issues/9478, this isn't a safe pattern. I think we'll have to do it the manual way:",0
"The `SetHighlightedItemForProperty (int, int)` overload is both internal and obsolete - which makes the obsolete redundant because nobody will see it, and you can just remove the obsolete attribute:",0
https://github.com/xamarin/xamarin-macios/blob/5cc92ac564ece03efb79c9b271beafc8faf905c0/src/addressbookui.cs#L164-L169,0
"The comment is also out of date, so it can be removed too.",0
"This is code moved from elsewhere, so it's been working fine, so I don't want to touch it too much.",0
And in any case I don't think the `escaped` condition would be possible to express in the switch.,0
Cloning is faster and uses less disk space:,0
Is the lack of hash here expected?,0
"If `IsCustomType` returns false, `IsRegisteredToggleRef` will be set to true, and the next time `MarkDirty` is called on the same object it'll exit immediately.",0
"This obviously only matters if `MarkDirty` is called multiple times per instance, which is exactly what's happening.",0
"Yes, docs is the only thing left now.",0
"I think you can just remove this line (and not add the other code), because the added test code just does the same thing the `CaptiveNetwork.TryGetSupportedInterfaces` method does, so there's not much testing value.",0
Fixed.,0
Missing comma at the end of the last element.,0
You can do:,0
and `items` will be null.,0
Test failures are unrelated:,0
* monotouch-test/Mac [dotnet]/Debug (static registrar) [dotnet]: https://github.com/xamarin/xamarin-macios/issues/13531,0
* MTouch tests/NUnit: #13547.,0
