"OrganizationLogin","RepositoryName","ReviewerLogin","HtmlUrl","Body"
"xamarin","xamarin-macios","rolfbjarne","https://github.com/xamarin/xamarin-macios/pull/10409#discussion_r556599941","Why not use `Directory.Move`?"
"xamarin","xamarin-macios","rolfbjarne","https://github.com/xamarin/xamarin-macios/pull/11851#discussion_r647469336","I think we should come up with a better version than 1.0.0.

We could use the existing mlaunch version:

```shell
$ /Library/Frameworks/Xamarin.iOS.framework/Versions/Current/bin/mlaunch --version 
Xamarin.Launcher 14.21.0.330 (xamarin/main: cddbd1915d)
```

or we could come up with something else (Xcode version? Something completely different that's calculated in maccore and doesn't take xamarin-macios into account? Go with ""0.0.1"" and decide something later?)

@spouliot / @dalexsoto what do you think? I lean towards the mlaunch version (although the downside here is that there can be multiple mlaunch versions for the same maccore hash)."
"xamarin","xamarin-macios","rolfbjarne","https://github.com/xamarin/xamarin-macios/pull/2447#discussion_r131987186","Note for future: we can probably use `[Category (""StaticRegistrar"")]` and then exclude that category when running the tests."
"xamarin","xamarin-macios","rolfbjarne","https://github.com/xamarin/xamarin-macios/pull/15241#issuecomment-1152568257","Test failures are unrelated:

* introspection/Mac Modern/Debug: #15230
* xcframework-test/watchOS 32-bits - simulator/Debug: https://github.com/xamarin/maccore/issues/2558
"
"xamarin","xamarin-macios","rolfbjarne","https://github.com/xamarin/xamarin-macios/pull/8124#issuecomment-601594602","build"
"xamarin","xamarin-macios","rolfbjarne","https://github.com/xamarin/xamarin-macios/pull/4727#discussion_r213914800","Same: iterator function."
"xamarin","xamarin-macios","rolfbjarne","https://github.com/xamarin/xamarin-macios/pull/8679#discussion_r430889841","```suggestion
			var handleof_pattern = pattern.GetNonNullHandle (nameof (pattern));
```"
"xamarin","xamarin-macios","rolfbjarne","https://github.com/xamarin/xamarin-macios/pull/1862#discussion_r105598045","We should somehow make sure these are fixed in XAMCORE_4_0.

One easy way to do this would be to make the attribute field an error:

    #if XAMCORE_4_0
    [Obsolete (""Inline the static members in this category in the category's class (and remove this obsolete once fixed)""]
    #endif
    public CategoryAttribute (bool ignoreStaticWarnings)
    {
        // ....
    }
"
"xamarin","xamarin-macios","rolfbjarne","https://github.com/xamarin/xamarin-macios/pull/12204#issuecomment-887248548","Test failures are unrelated (https://github.com/xamarin/maccore/issues/2443 and https://github.com/xamarin/maccore/issues/2471)."
"xamarin","xamarin-macios","rolfbjarne","https://github.com/xamarin/xamarin-macios/pull/10302#discussion_r544076024","You're executing powershell to execute PlistBuddy. Why not just execute PlistBuddy directly?"
