text,isnegative
Should I create an issue and link that in the binding?,0
Thanks!,0
Will merge after issues with main are resolved!,0
@rolfbjarne  @mandel-macaque Would these need this variable too when we move out of .NET6?,0
Again in that file here:,0
"@rolfbjarne  Ah good catch! I didn't realize I was calling the same method... The reason I made this change is that the SetHighlightedItemForProperty (int property, int identifier) is Obsolete and suggests that I use this one - which in this case does not make sense. Should I in fact continue to use the obsoleted one?",0
Updating to fix unrelated failure: https://github.com/xamarin/maccore/issues/2472,0
"Thanks for catching these, I followed Sebastian's advice about removing the [Introduced] attribute and removing the messages that don't give us much info in the Enums.cs file but not this one. If the documentation does not give a good method to use instead, would I just clear the entire message for these as well? In this case, there are other functions that can fetch assets using different types of parameters. Should I say something along the lines of ""Use other fetchasset methods""?",0
"I thought these were better to give us more detailed exceptions, but the compiler does not recognize these `ObjCRuntime.ThrowHelper.ThrowArgumentNullException`s as ending the method so I kept the old one at the end of the method...",0
Merging since the test failures are unrelated timeouts!,0
@chamons @mandel-macaque AH okay thank you both for the explanations! I will get right on this :),0
"I can create a LPLinkView with the size 5,5 at dimensions 5,5",0
I noticed the OneLocBuild task has failing due to the PAT in a different branch while testing this.,0
Connor was able to fix it!,0
Turning this into a draft since we will need more discussion on this before moving forward!,0
"Update: still testing on my end, for some reason @rolfbjarne 's solution isn't working on my end.. Sounds like it is working for others though.",0
Working on a test for this now!,0
"While I realize that I added a good amount of these and that SetData () throws an exception if the value arg is null, I thought it would be better to explicitly add the exceptions here and not use a `!`, but I am open to opinions!",0
"I will make a comment of this too, but the reasoning is a little confusing to me. I remember I could not build the file and @dalexsoto may remember, but there is a file src/Photos/PHAssetChangeRequest.cs that has an Obsolete attribute in the PHAssetChangeRequest empty constructor and we deemed that is what was causing the build issue. However, now I am confused because this class is PHChangeRequest and not PHAssetChangeRequest. I can talk to Alex about this tomorrow and get back to you with more clarification.",0
Does this look okay?,0
@dalexsoto @stephen-hawley  does `Microsoft.Nnyeah` meet all these criteria? Also could this change be in a separate PR?,0
@rolfbjarne So I just tried to apply the mac attributes to this one and a few of them below that say they are available for mac as well and they were getting a lot of compile errors.,0
It turns out that these are the questionable interfaces in this src/quicklook.cs,0
It turns out that they are also in src/quicklookui.cs and are all decorated with mac attributes already.,0
Do you think this could be leading to the issue?,0
[Here is the gist](https://gist.github.com/tj-devel709/03492abdf722192da23b84ae921f7e05) with the errors that marking mac for each of these interfaces show,0
I'll just leave the action in!,0
"@mandel-macaque There was no MacCatalyst.todo, but most of these interfaces say they support MacCatalyst in the web docs.",0
I tried including the HomeKit in the MacCatalyst section of the frameworks.source file and I kept getting this error in the build:,0
Is this something I should do?,0
"Are enums int by default? If so, is there a reason to declare int?",0
Right now it is set as a property though and properties don't need a verb correct? I can revert to a method though.,0
"Okay, applied!",0
Maybe,0
"nit, small extra space",1
How about `WeakExternalPlaybackVideoGravity = value.HasValue ? AVPlayerLayer.EnumToKey (value.Value)! : null!;`,0
dont link/Mac Catalyst [dotnet]/Release [dotnet]: TimedOut (Execution timed out after 1200 seconds.,0
No test log file was produced),0
link sdk/tvOS - simulator/Debug: Failed,0
link sdk/tvOS - simulator/Release: Failed,0
**Unrelated Test Failure**,0
Good catch! Removing now!,0
small also,0
nit: missing new line,0
"So I'm not sure if this is sufficient but I included Mac in an iOS Xcode project (which I think is how you enable Mac Catalyst), included HomeKit, and then called some things that are supported in Mac Catalyst (14,0) according to the web docs and Xcode does not complain about it!",0
lol,0
Looks like extra indentation here,0
"Oops sorry, actually forgot it haha",0
Thanks for explaining! :),0
@rolfbjarne that is a great question... Yeah this is the generated method signature:,0
And CategoryToToken says it returns an `NSString?`,0
Although there are no compiler warnings/errors regarding this..,0
Should we be replacing this `#if XAMCORE_4_0` with an `#if NET`?,0
@mandel-macaque maybe just an if statement inside that makes those changes ~ adds watch to the legacy and doesn't go though the platforms for the dotnet_iOS_MacCatalyst?,0
Unrelated failing test: https://github.com/xamarin/maccore/issues/2434,0
"So I actually don't who told me to add the Sealed, perhaps @dalexsoto ?",0
"But when I remove it, I get these build errors: https://gist.github.com/tj-devel709/d459d9e717a186486deab6479f57c050",0
Sebastien recommended that we change the ArgumentNullException's as well in these Nullability PRs,0
It's the first time I remember seeing `|=` cool haha,0
Same here,0
What does this line do?,0
There a few others as well!,0
* accidentally pulled xamarin/main. Trying to revert merge. Added do-not-merge for now,0
"Oops forgot to run tests, I'll do that now",0
Maybe typo?,0
nit: extra new line,0
Oh okay yeah sure that makes sense!,0
Looks like Sebastien's test fails when these are removed so maybe they are needed:,0
perhaps 'duplicated'?,0
Thanks!,0
Enum value looks strange,0
You can add the iOS availability on enums and their individual values too.,0
"Automatic,",0
"AutomaticOutLine,",0
"Also just a small thing but add a comma after the AutomaticOutLine so that if anyone else ever adds something to your enum, their name won't show up in the blame and seem like they added that value. Great job! :)",0
"The above changes were to account for `NLLanguageExtensions.GetConstant (item.Key)` possibly being null, but not sure if all this was neccessary",0
Closing this PR in favor of: https://github.com/xamarin/xamarin-macios/pull/14394,0
"This one was having test failures that I was waiting on, but a new (weekly) version of the localization PRs came out which includes all the changes in this PR and more!",0
"OK, let's YOLO this 😁",0
Sounds good 😂,0
@tj-devel709 changes look good. Interestingly all the ignored enums and functions are in all platforms supported by the framework. There is an option to create a single ignore file that uses common-* as the prefix rather than the platform name. Food for though 😉,0
@mandel-macaque  Would you recommend that I change it to common? Would it still be okay in common if it doesn't cover watchOS also?,0
Flagging just in case since lowest supported is 10.14,0
Flagging this just in case - not supported iOS version in .NET,0
**Unrelated test failure**,0
monotouch-test/tvOS - simulator/Debug: Failed,0
**Unrelated Test Failure**,0
Updating to fix this unrelated issue: https://github.com/xamarin/maccore/issues/2472,0
**Unrelated Test Failures**,0
These paths are incorrect - WIP,0
Will do!,0
"This is cool, I didn't know we could do this",0
Merging since the test failures are unrelated timeouts!,0
"Oh gosh, I really messed that up ☝️",0
"Alex helped suggest that name since the comment on xcode is ""/// The handle for the person that will be displayed on the incoming call notification.""",0
@mandel-macaque hmmm what does the semicolon in this path name do?,0
Perhaps this will give me a clue on how the apidiff directory is being set?,0
"@tj-devel709 let me know if the json was tool generated, in that case ignore my comments.",0
Yes they were auto generated. The output used spaces instead of tabs though so it is possible that I messed up indentation when trying to use tabs to not show changes in Rolf's existing json,0
"Awesome, thanks @mandel-macaque !!",0
Do we want to remove these maccatalyst's?,0
"Sorry, my mistake, both test failures are unrelated:",0
"Also if I try (IList<string>) as a cast, I get this:",0
System.InvalidCastException : Specified cast is not valid.,0
small formatting,0
"Sorry, I don't think this one is actually ready for review. I think there are some things in the headers that were not mentioned by xtro that need updating!",0
small typo,0
That is a good point.,0
