"OrganizationLogin","RepositoryName","ReviewerLogin","HtmlUrl","Body"
"xamarin","xamarin-macios","tj-devel709","https://github.com/xamarin/xamarin-macios/pull/12203#discussion_r676987922","Should I create an issue and link that in the binding?"
"xamarin","xamarin-macios","tj-devel709","https://github.com/xamarin/xamarin-macios/pull/9660#discussion_r490448287","Thanks!"
"xamarin","xamarin-macios","tj-devel709","https://github.com/xamarin/xamarin-macios/pull/14033#issuecomment-1035010451","Will merge after issues with main are resolved!"
"xamarin","xamarin-macios","tj-devel709","https://github.com/xamarin/xamarin-macios/pull/12637#issuecomment-917127634","/azp run"
"xamarin","xamarin-macios","tj-devel709","https://github.com/xamarin/xamarin-macios/pull/14909#issuecomment-1118846861","@rolfbjarne  @mandel-macaque Would these need this variable too when we move out of .NET6?
https://github.com/xamarin/xamarin-macios/blob/main/tools/devops/automation/templates/build/api-diff-github-comment.yml#L95-L102

Again in that file here: 
https://github.com/xamarin/xamarin-macios/blob/main/tools/devops/automation/templates/build/api-diff-github-comment.yml#L178-L185"
"xamarin","xamarin-macios","tj-devel709","https://github.com/xamarin/xamarin-macios/pull/14221#discussion_r812421089","@rolfbjarne  Ah good catch! I didn't realize I was calling the same method... The reason I made this change is that the SetHighlightedItemForProperty (int property, int identifier) is Obsolete and suggests that I use this one - which in this case does not make sense. Should I in fact continue to use the obsoleted one?"
"xamarin","xamarin-macios","tj-devel709","https://github.com/xamarin/xamarin-macios/pull/12102#issuecomment-885657546","Updating to fix unrelated failure: https://github.com/xamarin/maccore/issues/2472"
"xamarin","xamarin-macios","tj-devel709","https://github.com/xamarin/xamarin-macios/pull/6521#discussion_r301715777","Thanks for catching these, I followed Sebastian's advice about removing the [Introduced] attribute and removing the messages that don't give us much info in the Enums.cs file but not this one. If the documentation does not give a good method to use instead, would I just clear the entire message for these as well? In this case, there are other functions that can fetch assets using different types of parameters. Should I say something along the lines of ""Use other fetchasset methods""?"
"xamarin","xamarin-macios","tj-devel709","https://github.com/xamarin/xamarin-macios/pull/14408#discussion_r826228115","I thought these were better to give us more detailed exceptions, but the compiler does not recognize these `ObjCRuntime.ThrowHelper.ThrowArgumentNullException`s as ending the method so I kept the old one at the end of the method..."
"xamarin","xamarin-macios","tj-devel709","https://github.com/xamarin/xamarin-macios/pull/14931#issuecomment-1125246364","Merging since the test failures are unrelated timeouts!"
"xamarin","xamarin-macios","tj-devel709","https://github.com/xamarin/xamarin-macios/pull/13346#discussion_r768309013","@chamons @mandel-macaque AH okay thank you both for the explanations! I will get right on this :)"
"xamarin","xamarin-macios","tj-devel709","https://github.com/xamarin/xamarin-macios/pull/6437#discussion_r298290984","So if I call initWithFrame: CGRectMake (5,5,5,5)
I can create a LPLinkView with the size 5,5 at dimensions 5,5"
"xamarin","xamarin-macios","tj-devel709","https://github.com/xamarin/xamarin-macios/pull/11472#issuecomment-833906067","I noticed the OneLocBuild task has failing due to the PAT in a different branch while testing this.
Connor was able to fix it!
I also added another variable to use in place of isMain in this other branch so it runs OneLocBuild similar to how this PR should run on main [here](https://devdiv.visualstudio.com/DevDiv/_build/results?buildId=4733060&view=logs&j=d4d86769-bae0-5955-544a-0740a81efd3c&t=b076b8fd-1a89-5fdb-2a15-f02f9055d0fd&l=211)."
"xamarin","xamarin-macios","tj-devel709","https://github.com/xamarin/xamarin-macios/pull/14749#issuecomment-1100311275","Turning this into a draft since we will need more discussion on this before moving forward!"
