"OrganizationLogin","RepositoryName","ReviewerLogin","HtmlUrl","Body"
"xamarin","xamarin-android","jonathanpeppers","https://github.com/xamarin/xamarin-android/pull/3347#discussion_r304621310","Ok, `Test MSBuild Mac` and `Test MSBuild for Devices Mac` might be a little better."
"xamarin","xamarin-android","jonathanpeppers","https://github.com/xamarin/xamarin-android/pull/5599#issuecomment-775175088","@dellis1972 I figured this out friday, I think: https://github.com/xamarin/xamarin-android/pull/5597"
"xamarin","xamarin-android","jonathanpeppers","https://github.com/xamarin/xamarin-android/pull/6986#issuecomment-1120005083","Ignore above, it was a `net6.0-android` app. When testing `net7.0-android` apps, Debug builds work.

But a `Release` build logs this and then crashes after:
```
05-06 15:59:29.032  5556  5556 D Mono    : AOT NOT FOUND: (wrapper managed-to-native) Interop/Globalization:<GetSortHandle>g____PInvoke__|10_0 (byte*,intptr*).
```
`ndk-stack` gives:
```
********** Crash dump: **********
Build fingerprint: 'google/redfin/redfin:12/SP2A.220305.012/8177914:user/release-keys'
#00 0x0000000000000000 <unknown>
#01 0x0000000000291de4 /data/app/~~ItthawCn0DOlo1Ki4imiRA==/com.companyname.foo-W3RWpuZlKreSEizITM-Dpg==/split_config.arm64_v8a.apk!libmonosgen-2.0.so (BuildId: 37b4820b2e370de25a652bab573817fa6b135ac1)
                                                                                                                                                        GlobalizationNative_GetSortHandle
                                                                                                                                                        /__w/1/s\src/native/libs/System.Globalization.Native/pal_collation.c:462:46
#02 0x000000000000f6d0 <anonymous:74e811b000>
Crash dump is completed
```

Full log: [adb.txt](https://github.com/xamarin/xamarin-android/files/8643599/adb.txt)"
"xamarin","xamarin-android","jonathanpeppers","https://github.com/xamarin/xamarin-android/pull/3523#discussion_r316205822","I have a feeling that NuGet authors will have to use `monoandroid10.0` for their directory names... where they have been used to using `monoandroid81`, `monoandroid90`, etc."
"xamarin","xamarin-android","jonathanpeppers","https://github.com/xamarin/xamarin-android/pull/6118#discussion_r675851112","The target that uses the `@(Import)` item group doesn't run if you set `$(DisableImplicitNamespaceImports)`:

https://github.com/dotnet/sdk/blob/93b432bd8e73bb68aa4621db8a967d62e6f0cc23/src/Tasks/Microsoft.NET.Build.Tasks/targets/Microsoft.NET.GenerateImplicitNamespaceImports.targets#L35-L38

Here is the commit that implements this:

https://github.com/dotnet/sdk/commit/85943958e5a01d6bbd39a947aec2a4a37b8ba7cf"
"xamarin","xamarin-android","jonathanpeppers","https://github.com/xamarin/xamarin-android/pull/6620#issuecomment-1007633600","The one performance test that failed, I don't see anything related to this change:

![image](https://user-images.githubusercontent.com/840039/148589321-b781cbff-0b71-43a5-ab4c-b23accddf5bc.png)

`<D8/>` or `<R8/>` didn't run, so going to merge."
"xamarin","xamarin-android","jonathanpeppers","https://github.com/xamarin/xamarin-android/pull/6541#issuecomment-988107739","/azp run"
"xamarin","xamarin-android","jonathanpeppers","https://github.com/xamarin/xamarin-android/pull/1602#discussion_r184710982","Did this just get pasted twice?"
"xamarin","xamarin-android","jonathanpeppers","https://github.com/xamarin/xamarin-android/pull/5095#discussion_r487122227","As per the bug we were seeing with `WorkingDirectory` and `<Aapt2Link/>`, I think this needs to be:
```suggestion
					var assetDir = GetFullPath (AdditionalAndroidAssetPaths [i].ItemSpec.TrimEnd ('\\'));
					if (Directory.Exists (assetDir)) {
						cmd.Add (""-A"");
						cmd.Add (assetDir);
					} else {
						LogDebugMessage (""asset directory did not exist: "" + assetDir);
					}
```"
"xamarin","xamarin-android","jonathanpeppers","https://github.com/xamarin/xamarin-android/pull/2643#discussion_r250238388","After using `IndexOf` + `Substring`, I think it's still OK to just compare `targetFrameworkIdentifier == ""MonoAndroid""`:
```csharp
//
// Summary:
//     Reports the zero-based index of the first occurrence of the specified string
//     in the current System.String object. A parameter specifies the type of search
//     to use for the specified string.
//
// Returns:
//     The index position of the value parameter if that string is found, or -1 if it
//     is not. If value is System.String.Empty, the return value is 0.
public int IndexOf (String value, StringComparison comparisonType);
```
It should be the first instance of `,` and `targetFrameworkIdentifier` will be everything before it."
"xamarin","xamarin-android","jonathanpeppers","https://github.com/xamarin/xamarin-android/pull/5991#issuecomment-856143652","The issue in https://github.com/xamarin/xamarin-android/pull/5991#issuecomment-854216388 should be working now.

I believe I was only seeing the problem in an earlier incarnation of https://github.com/xamarin/monodroid/pull/1205."
"xamarin","xamarin-android","jonathanpeppers","https://github.com/xamarin/xamarin-android/pull/6139#discussion_r704680228","I can't find anything sensible to do here, `$([System.Version]::Parse())` or `$([MSBuild]:VersionGreaterThanOrEquals())` throw during evaluation.

I think adding the test case is fine for now, and you would get the above error from `NuGet.targets`?"
"xamarin","xamarin-android","jonathanpeppers","https://github.com/xamarin/xamarin-android/pull/6922#issuecomment-1098640052","@pjcollins there is something else weird here, but I think it's our test.

The cases where macOS failed, it seems like `usesAssemblyStore=false`. So how would this class know to check if the files exist in that case?

https://github.com/xamarin/xamarin-android/blob/968c4245d3bb24670f402eb207109ca837fdd195/src/Xamarin.Android.Build.Tasks/Tests/Xamarin.Android.Build.Tests/XASdkTests.cs#L634-L638

Let's look into this again if it fails like this later..."
"xamarin","xamarin-android","jonathanpeppers","https://github.com/xamarin/xamarin-android/pull/4652#discussion_r420398207","I was mainly trying to get the build log shorter 👀 

It seems both the startup & MSBuild perf tests fail to build, which is odd."
